001325-0001	Highly recommended
369087-0004	They squeezed me in and had me back up and running in no time.
369087-0005	Everyone was pleasant and very helpful.
369087-0006	The service department even gave me a ride home and picked me up when my car was finished.
369087-0007	The advisor kept me up to date and informed on the progress of my vehicle.
369087-0008	I give this dealer an A+!
369087-0009	I will definitely be bringing my car back for service.
369210-0001	When I arrived at Brickell Honda on 6/4/11, I was greeted and attended to by the Sales Manager, Gustavo Guerra, in a very friendly and professional manner.
369210-0002	I explained to him what I wanted and that I previously went to Braman Honda.
369210-0003	Bramen Honda was a bit of a hassle.
369210-0004	He told me "no problem, we will match the offer or do better."
369210-0005	Mr. Guerra gave me a better deal without any hassles nor any type of problems.
369210-0006	Brickell Honda has been the best buying experience in the world.
369210-0007	I urge all St. Thomas the Apostle parishioners and all of South Florida residents to come see Gus!!!
369210-0008	Excellent customer service!!!
369608-0001	The management and staff are superb.
369608-0002	I worked with Sam Mones who took great care of me.
369608-0003	This is by far the best run dealership in Miami.
369957-0001	beware they will rip u off
371300-0001	Never again
371300-0002	Don't go here unless you want to sit,order,eat and be asked to leave all in a matter of 20 minutes.
371300-0003	You won't even have time to read the entire menu before being asked to order and if you ask for more time your server will wait at the table.
371300-0004	This is the only place I have ever eaten and been told to leave because other people were waiting.
371300-0005	I was told to take my coffee to go if I wanted to finish it.
371300-0006	Oh, and their liquor license was expired so no Bloody Mary or Mimosas.
371300-0007	Plus the drinks are self service, have fun trying to negotiate the small cafeteria space to get your coffee, juice or water.
371300-0008	Go next door to the Ball Square Cafe instead.
371492-0001	Excellent service!
371492-0002	I am so glad that we now have a good nail shop on San Mateo Avenue!
371492-0003	No more having to drive to San Francisco for a great mani pedi.
371492-0004	Both Tina and Vicky are excellent.
371492-0005	I will definitely refer my friends and family:)
372582-0001	Prime rib was very tough.
372582-0002	Staff were pleasant.
372582-0003	Won't return.
372665-0001	Is not a service office
372665-0002	This is a delivery office only and does not take walk ins but they do have a blue box out front.
372665-0003	Glad I called before I arrived with my box to ship.
372665-0004	Thought adding a comment would save someone the hassle with a useless trip there.
372903-0001	Fantastic for kids
372903-0002	If you have children or are just a real animal lover yourself you'll love this zoo.
372903-0003	It's only $10 and in essence just one big petting zoo.
372903-0004	They sell feed and milk bottles at the front and I recommend you buy lots.
372903-0005	We took our 7 month old and she laughed and giggled when (very harshly I might add) grabbing and 'kissed' the goats and lambs.
372903-0006	The animals were all very sweet and patient with her.
372903-0007	Among the animals that were available to touch were pony's, camels and EVEN AN OSTRICH!!!
372903-0008	Wonderful, inexpensive and lots of fun!
374000-0001	GREAT Store GREAT Service!
374000-0002	“This store is great!!
374000-0003	I love walking in and not being hassled.
374000-0004	I was there when they did a free raffle in August and I won a hard drive!
374000-0005	The reason I go back is because the employees are sooooo nice.”
374344-0001	AMAZING
374344-0002	Absoul is the greatest donair man on the planet.
374344-0003	Highly recommended.
374344-0004	If you enjoy amazing things, you must go to World's Finest Donair.
374344-0005	Lest you be lame!!!
374344-0006	I give this place 11/10.
374344-0007	3 thumbs up.
374344-0008	Bon appetit!
374604-0001	I've never felt the need to write a review or make a complaint before, but after the way I was spoken to by a member of staff at the kennels (whose name I believe to be Mrs Closs) I would now not recommend this business to anybody.
374604-0002	If the animals are treated in the same way the customers are treated then this leaves a lot to be desired!
374604-0003	Nobody should be spoken to like that regardless of how bad their day may have been or what may be going on in their private lives!
376320-0001	First trip to Canada
376320-0002	I recently traveled to Canada on business and had a most excellent experience.
376320-0003	I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and on time.
376320-0004	This can tend to be a stressful experience in itself let alone adding crossing boarders for the first time.
376320-0005	I was very pleased to find my accommodations and the hotel staff to be a very calming and comforting part of my trip.
376320-0006	I found the hotel to be amazingly clean, not to mention very well adorned with many pleasant surprises.
376320-0007	From my first encounter at check in to my regrettable check out I found the staff and facility to exceed my expectation.
376320-0008	I completely enjoyed my whole check in experience and was impressed with the friendliness and professionalism of the staff as well as the accommodations themselves.
376320-0009	I will be traveling in this area in the future and you can be assured that this experience will be helpful in my choice of hotels and Novotel will be my first selection.
376320-0010	Yes the parking can be a challenge but being from NJ I am no stranger to tight corners.
376320-0011	Please pass my appreciation to the Staff and Management for their excellent hospitality and good spirits as it helped make a stressful trip enjoyable.
376503-0001	I interviewed several contractors for a kitchen remodel.
376503-0002	Liberty construction shows up and it's two guys...all I get is 100% sales pitch "We're the best...we're number 50 so we must be doing something right...look at all these certificates that say we're great".
376503-0003	Not once did I feel listened to like they actually cared about what I wanted, all they were interested in was me signing a contract right then and there.
376503-0004	Very high pressured sales and with the reviews of many others bad service.
376503-0005	I'm glad I trusted my gut and didn't get sucked into doing business with them.
376503-0006	Find someone you trust that actually hears you and wants to do the job right.
377347-0001	Craft Wonderland with History
377347-0002	My first visit was so fun yesterday.
377347-0003	I could have stayed all day and not seen all the things.
377347-0004	I am doing origami jewelry and found exactly the right things for earrings and got many other ideas there too.
377347-0005	I bought a beginners quilling set and like making the filigree forms you can make and add to other crafts.
377347-0006	The owner, Jean, has been there 31 years!
